"","CountryCode","Rank","Country","GDP"
"1","USA",1,"United States"," 16,244,600 "
"2","CHN",2,"China"," 14,802,942 "
"3","IND",3,"India"," 6,354,588 "
"4","JPN",4,"Japan"," 4,543,515 "
"5","DEU",5,"Germany"," 3,434,191 "
"6","RUS",6,"Russian Federation"," 3,385,844 "
"7","BRA",7,"Brazil"," 2,890,563 "
"8","FRA",8,"France"," 2,416,639 "
"9","GBR",9,"United Kingdom"," 2,272,394 "
"10","IDN",10,"Indonesia"," 2,224,501 "
"11","ITA",11,"Italy"," 2,079,485 "
"12","MEX",12,"Mexico"," 1,985,044 "
"13","ESP",13,"Spain"," 1,502,643 "
"14","KOR",14,"Korea, Rep."," 1,500,662 "
"15","SAU",15,"Saudi Arabia"," 1,461,878 "
"16","CAN",16,"Canada"," 1,435,271 "
"17","TUR",17,"Turkey"," 1,372,744 "
"18","IRN",18,"Iran, Islamic Rep."," 1,202,276 "
"19","AUS",19,"Australia"," 995,639 "
"20","NGA",20,"Nigeria"," 934,448 "
"21","THA",21,"Thailand"," 923,210 "
"22","POL",22,"Poland"," 877,947 "
"23","EGY",23,"Egypt, Arab Rep."," 877,596 "
"24","PAK",24,"Pakistan"," 794,858 "
"25","NLD",25,"Netherlands"," 726,143 "
"26","MYS",26,"Malaysia"," 651,470 "
"27","ZAF",27,"South Africa"," 637,670 "
"28","PHL",28,"Philippines"," 590,855 "
"29","COL",29,"Colombia"," 567,281 "
"30","VEN",30,"Venezuela, RB"," 537,713 "
"31","ARE",31,"United Arab Emirates"," 534,313 "
"32","DZA",32,"Algeria"," 500,337 "
"33","IRQ",33,"Iraq"," 481,548 "
"34","BEL",34,"Belgium"," 451,424 "
"35","VNM",35,"Vietnam"," 443,705 "
"36","CHE",36,"Switzerland"," 425,363 "
"37","SWE",37,"Sweden"," 408,056 "
"38","UKR",38,"Ukraine"," 386,540 "
"39","SGP",39,"Singapore"," 386,341 "
"40","CHL",40,"Chile"," 374,936 "
"41","BGD",41,"Bangladesh"," 372,067 "
"42","AUT",42,"Austria"," 371,948 "
"43","KAZ",43,"Kazakhstan"," 367,424 "
"44","HKG",44,"Hong Kong SAR, China"," 366,104 "
"45","ROM",45,"Romania"," 362,653 "
"46","PER",46,"Peru"," 354,019 "
"47","NOR",47,"Norway"," 331,932 "
"48","CZE",48,"Czech Republic"," 289,288 "
"49","GRC",49,"Greece"," 288,864 "
"50","QAT",50,"Qatar"," 282,199 "
"51","KWT",51,"Kuwait"," 278,436 "
"52","PRT",52,"Portugal"," 272,948 "
"53","ISR",53,"Israel"," 247,952 "
"54","DNK",54,"Denmark"," 239,181 "
"55","MAR",55,"Morocco"," 231,435 "
"56","HUN",56,"Hungary"," 224,549 "
"57","FIN",57,"Finland"," 212,221 "
"58","CUB",58,"Cuba"," 211,947 "
"59","IRL",59,"Ireland"," 201,061 "
"60","LKA",60,"Sri Lanka"," 183,299 "
"61","BLR",61,"Belarus"," 162,434 "
"62","ECU",62,"Ecuador"," 156,056 "
"63","AGO",63,"Angola"," 155,615 "
"64","AZE",64,"Azerbaijan"," 150,276 "
"65","OMN",65,"Oman"," 150,042 "
"66","NZL",66,"New Zealand"," 145,964 "
"67","UZB",67,"Uzbekistan"," 142,524 "
"68","SVK",68,"Slovak Republic"," 139,741 "
"69","SDN",69,"Sudan"," 127,543 "
"70","PRI",70,"Puerto Rico"," 126,612 "
"71","BGR",71,"Bulgaria"," 117,192 "
"72","TUN",72,"Tunisia"," 116,369 "
"73","DOM",73,"Dominican Republic"," 115,184 "
"74","ETH",74,"Ethiopia"," 113,710 "
"75","GTM",75,"Guatemala"," 107,265 "
"76","YEM",76,"Yemen, Rep."," 96,990 "
"77","GHA",77,"Ghana"," 93,909 "
"78","KEN",78,"Kenya"," 92,652 "
"79","HRV",79,"Croatia"," 89,452 "
"80","SRB",80,"Serbia"," 85,251 "
"81","TZA",81,"Tanzania"," 78,105 "
"82","LBN",82,"Lebanon"," 74,328 "
"83","JOR",83,"Jordan"," 72,900 "
"84","LTU",84,"Lithuania"," 72,769 "
"85","MAC",85,"Macao SAR, China"," 71,933 "
"86","TKM",86,"Turkmenistan"," 65,581 "
"87","PAN",87,"Panama"," 64,435 "
"88","CRI",88,"Costa Rica"," 64,006 "
"89","URY",89,"Uruguay"," 62,064 "
"90","BOL",90,"Bolivia"," 60,345 "
"91","NPL",91,"Nepal"," 59,561 "
"92","SVN",92,"Slovenia"," 58,579 "
"93","AFG",93,"Afghanistan"," 57,422 "
"94","CMR",94,"Cameroon"," 56,322 "
"95","CIV",95,"Côte d'Ivoire"," 55,453 "
"96","BHR",96,"Bahrain"," 54,517 "
"97","UGA",97,"Uganda"," 49,338 "
"98","PRY",98,"Paraguay"," 49,096 "
"99","SLV",99,"El Salvador"," 47,706 "
"100","LUX",100,"Luxembourg"," 47,525 "
"101","LVA",101,"Latvia"," 44,368 "
"102","ZMB",102,"Zambia"," 42,821 "
"103","KHM",103,"Cambodia"," 42,183 "
"104","TTO",104,"Trinidad and Tobago"," 39,581 "
"105","BIH",105,"Bosnia and Herzegovina"," 36,010 "
"106","HND",106,"Honduras"," 35,710 "
"107","EST",107,"Estonia"," 32,501 "
"108","MDG",108,"Madagascar"," 31,254 "
"109","GEO",109,"Georgia"," 30,572 "
"110","SEN",110,"Senegal"," 30,355 "
"111","ZAR",111,"Congo, Dem. Rep."," 30,160 "
"112","GAB",112,"Gabon"," 29,895 "
"113","BRN",113,"Brunei Darussalam"," 29,814 "
"114","ALB",114,"Albania"," 29,734 "
"115","LAO",115,"Lao PDR"," 29,673 "
"116","BWA",116,"Botswana"," 29,449 "
"117","GNQ",117,"Equatorial Guinea"," 28,078 "
"118","CYP",118,"Cyprus"," 26,870 "
"119","NIC",119,"Nicaragua"," 25,935 "
"120","BFA",120,"Burkina Faso"," 25,588 "
"121","TCD",121,"Chad"," 25,375 "
"122","MKD",122,"Macedonia, FYR"," 24,918 "
"123","MOZ",123,"Mozambique"," 24,906 "
"124","COG",124,"Congo, Rep."," 24,850 "
"125","MLI",125,"Mali"," 24,286 "
"126","MNG",126,"Mongolia"," 23,583 "
"127","JAM",127,"Jamaica"," 23,202 "
"128","ARM",128,"Armenia"," 22,023 "
"129","MUS",129,"Mauritius"," 21,279 "
"130","NAM",130,"Namibia"," 21,002 "
"131","SSD",131,"South Sudan"," 19,740 "
"132","TJK",132,"Tajikistan"," 18,908 "
"133","ZWE",133,"Zimbabwe"," 18,674 "
"134","PNG",134,"Papua New Guinea"," 17,370 "
"135","BEN",135,"Benin"," 17,247 "
"136","HTI",136,"Haiti"," 16,299 "
"137","KGZ",137,"Kyrgyz Republic"," 16,240 "
"138","RWA",138,"Rwanda"," 16,072 "
"139","NER",139,"Niger"," 15,432 "
"140","KSV",140,"Kosovo"," 15,245 "
"141","MDA",141,"Moldova"," 15,017 "
"142","GIN",142,"Guinea"," 14,169 "
"143","ISL",143,"Iceland"," 12,539 "
"144","MLT",144,"Malta"," 12,145 "
"145","MWI",145,"Malawi"," 11,960 "
"146","MRT",146,"Mauritania"," 11,349 "
"147","SLE",147,"Sierra Leone"," 9,648 "
"148","MNE",148,"Montenegro"," 8,917 "
"149","TGO",149,"Togo"," 8,691 "
"150","BHS",150,"Bahamas, The"," 8,593 "
"151","SUR",151,"Suriname"," 8,253 "
"152","SWZ",152,"Swaziland"," 7,405 "
"153","BDI",153,"Burundi"," 7,384 "
"154","ERI",154,"Eritrea"," 7,360 "
"155","FJI",155,"Fiji"," 6,722 "
"156","BTN",156,"Bhutan"," 5,654 "
"157","LSO",157,"Lesotho"," 4,943 "
"158","GUY",158,"Guyana"," 4,899 "
"159","CAF",159,"Central African Republic"," 4,438 "
"160","BRB",160,"Barbados"," 4,409 "
"161","MDV",161,"Maldives"," 3,881 "
"162","ABW",162,"Aruba"," 3,671 "
"163","BMU",163,"Bermuda"," 3,436 "
"164","LBR",164,"Liberia"," 3,336 "
"165","CPV",165,"Cabo Verde"," 3,175 "
"166","GMB",166,"Gambia, The"," 2,852 "
"167","BLZ",167,"Belize"," 2,782 "
"168","TMP",168,"Timor-Leste"," 2,235 "
"169","SYC",169,"Seychelles"," 2,080 "
"170","GNB",170,"Guinea-Bissau"," 1,969 "
"171","LCA",171,"St. Lucia"," 1,885 "
"172","ATG",172,"Antigua and Barbuda"," 1,787 "
"173","GRD",173,"Grenada"," 1,265 "
"174","VCT",174,"St. Vincent and the Grenadines"," 1,143 "
"175","KNA",175,"St. Kitts and Nevis"," 1,139 "
"176","SLB",176,"Solomon Islands"," 1,098 "
"177","COM",177,"Comoros"," 1,090 "
"178","WSM",178,"Samoa"," 948 "
"179","VUT",179,"Vanuatu"," 728 "
"180","DMA",180,"Dominica"," 702 "
"181","TON",181,"Tonga"," 547 "
"182","STP",182,"São Tomé and Principe"," 543 "
"183","FSM",183,"Micronesia, Fed. Sts."," 361 "
"184","PLW",184,"Palau"," 304 "
"185","MHL",185,"Marshall Islands"," 189 "
"186","KIR",186,"Kiribati"," 182 "
"187","TUV",187,"Tuvalu"," 35 "
